Node Number	LOC_DEFY (m)
1110	1.0125e-003
1111	1.2052e-003
1112	1.0336e-003
1113	9.7802e-004
1114	9.4488e-005
1115	8.7885e-004
1116	8.5799e-004
1117	7.4711e-004
1118	8.143e-004
1119	9.1269e-004
1120	1.0948e-003
1121	1.104e-003
1122	1.308e-003
1123	8.4849e-004
1124	1.211e-003
1125	1.2522e-003
1126	7.36e-004
1127	7.3317e-004
1128	6.4979e-004
1129	1.158e-003
1130	3.8961e-004
1131	9.0365e-004
1132	8.1375e-004
1133	9.8683e-004
1134	1.6481e-003
1135	1.7567e-003
1136	1.2787e-003
1137	4.7551e-004
1138	4.009e-004
1139	6.184e-004
1140	2.5223e-004
1141	1.3387e-003
1142	5.5271e-004
1143	3.9947e-004
1144	5.0691e-004
1145	3.6084e-004
1146	6.0889e-004
1147	3.4815e-004
1148	4.095e-004
1149	6.4155e-004
1150	5.7854e-004
1151	4.5016e-004
1152	4.353e-004
1153	3.0883e-004
1154	3.3045e-004
1155	2.7661e-004
1156	2.4683e-004
1157	1.9078e-004
1158	2.2967e-004
1159	2.1149e-004
1160	2.4018e-004
1161	2.8979e-004
1162	2.3412e-004
1163	2.691e-004
1164	2.7987e-004
1165	2.5033e-004
1166	2.4024e-004
1167	2.347e-004
1168	2.346e-004
1169	2.3176e-004
1170	2.34e-004
1171	2.211e-004
1172	2.3807e-004
1173	2.2211e-004
1174	2.2096e-004
1175	2.297e-004
1176	2.2593e-004
1177	2.2629e-004
1178	2.2416e-004
1179	2.2468e-004
1180	2.2324e-004
1181	2.2405e-004
1182	2.228e-004
1183	2.2361e-004
1184	2.2251e-004
1185	2.233e-004
1186	2.2233e-004
1187	2.2309e-004
1188	2.2236e-004
1189	2.232e-004
1190	2.225e-004
1191	2.2335e-004
1192	2.2277e-004
1193	2.2352e-004
1194	2.2273e-004
1195	2.2294e-004
1196	2.2219e-004
1197	2.2173e-004
1198	2.2252e-004
1199	2.2201e-004
1200	2.2826e-004
1201	1.1957e-003
1202	6.411e-004
1203	8.3493e-004
1204	8.5552e-004
1205	5.3192e-004
1206	8.157e-004
1207	1.174e-003
1208	1.1046e-003
1209	1.0696e-003
1210	1.1876e-003
1211	1.2701e-003
1212	7.5754e-004
1213	6.9842e-004
1214	2.3237e-004
1215	5.5631e-004
1216	6.4503e-004
1217	6.3783e-004
1218	6.609e-004
1219	1.0042e-003
1220	1.222e-003
1221	8.236e-004
1222	1.1755e-003
1223	8.07e-004
1224	7.63e-004
1225	1.2059e-003
1226	7.6273e-004
1227	6.1771e-004
1228	1.265e-003
1229	4.9596e-004
1230	8.0674e-004
1231	1.016e-003
1232	3.8364e-004
1233	1.1293e-003
1234	1.9171e-003
1235	1.1078e-003
1236	4.7864e-004
1237	5.2957e-004
1238	4.6834e-004
1239	7.9885e-004
1240	5.4195e-004
1241	2.8393e-004
1242	4.8985e-004
1243	3.9268e-004
1244	3.1317e-004
1245	6.0199e-004
1246	3.4485e-004
1247	3.744e-004
1248	6.4197e-004
1249	6.6829e-004
1250	5.1941e-004
1251	4.7665e-004
1252	2.9546e-004
1253	2.904e-004
1254	3.0684e-004
1255	3.2597e-004
1256	3.513e-004
1257	3.4892e-004
1258	3.0823e-004
1259	3.1857e-004
1260	2.9996e-004
1261	3.0143e-004
1262	2.7541e-004
1263	2.7664e-004
1264	2.7783e-004
1265	2.6706e-004
1266	2.5624e-004
1267	2.5105e-004
1268	2.4737e-004
1269	2.441e-004
1270	2.2852e-004
1271	2.2985e-004
1272	2.2438e-004
1273	2.2677e-004
1274	2.2565e-004
1275	2.2438e-004
1276	2.2234e-004
1277	2.226e-004
1278	2.215e-004
1279	2.2168e-004
1280	2.2072e-004
1281	2.2125e-004
1282	2.2035e-004
1283	2.2092e-004
1284	2.2001e-004
1285	2.2076e-004
1286	2.1995e-004
1287	2.2073e-004
1288	2.2005e-004
1289	2.2091e-004
1290	2.202e-004
1291	2.2116e-004
1292	2.2039e-004
1293	2.2106e-004
1294	2.2008e-004
1295	2.2023e-004
1296	2.1938e-004
1297	2.1903e-004
1298	2.1986e-004
1299	2.1885e-004
1300	2.2578e-004
1301	1.1293e-003
1302	8.1762e-004
1303	8.2963e-004
1304	9.8735e-004
1305	7.8718e-004
1306	1.0609e-003
1307	1.1856e-003
1308	1.1779e-003
1309	8.8719e-004
1310	1.2325e-003
1311	1.3545e-003
1312	9.9045e-004
1313	5.7287e-004
1314	6.4827e-004
1315	7.9107e-004
1316	7.0063e-004
1317	7.1112e-004
1318	9.4081e-004
1319	8.2213e-004
1320	8.5357e-004
1321	1.1156e-003
1322	1.1846e-003
1323	7.7251e-004
1324	8.3759e-004
1325	7.4662e-004
1326	3.2564e-004
1327	1.3101e-003
1328	5.1927e-004
1329	8.9836e-004
1330	8.5119e-004
1331	1.0864e-003
1332	5.4895e-004
1333	8.1253e-004
1334	3.3781e-004
1335	7.0101e-004
1336	6.0983e-004
1337	2.712e-004
1338	4.6523e-005
1339	1.6439e-004
1340	5.2947e-004
1341	3.383e-004
1342	5.9396e-004
1343	3.8122e-004
1344	3.9861e-004
1345	3.8621e-004
1346	9.4607e-004
1347	4.6351e-004
1348	4.6188e-004
1349	2.6069e-004
1350	3.534e-004
1351	2.2391e-004
1352	2.3491e-004
1353	3.6296e-004
1354	2.4595e-004
1355	3.2726e-004
1356	3.6024e-004
1357	3.0565e-004
1358	3.0538e-004
1359	3.0223e-004
1360	3.1712e-004
1361	2.991e-004
1362	2.8413e-004
1363	2.8622e-004
1364	2.7435e-004
1365	2.8232e-004
1366	2.6364e-004
1367	2.5535e-004
1368	2.4248e-004
1369	2.3795e-004
